Metodo,Escenario,TMT,Pares Coordinados,Pares Descoordinados,Total Pares Válidos,Porcentaje Coordinación,Scenario_Num
Automation,scenario_1,-15.85430,12,88,100,12.00000,1
Optimization 1,scenario_1,-0.73930,87,13,100,87.00000,1
Optimization 2,scenario_1,-0.73930,87,13,100,87.00000,1
Transformer,scenario_1,-1.02140,84,16,100,84.00000,1
Automation,scenario_2,-18.96240,12,88,100,12.00000,2
Optimization 1,scenario_2,-17.02310,90,10,100,90.00000,2
Optimization 2,scenario_2,-2.91259,94,6,100,94.00000,2
Transformer,scenario_2,-2.58520,94,6,100,94.00000,2
Automation,scenario_3,-17.82150,13,87,100,13.00000,3
Optimization 1,scenario_3,-17.73160,91,9,100,91.00000,3
Optimization 2,scenario_3,-2.37190,95,5,100,95.00000,3
Transformer,scenario_3,-1.82310,89,11,100,89.00000,3
Automation,scenario_4,-15.23050,13,87,100,13.00000,4
Optimization 1,scenario_4,-0.51750,89,11,100,89.00000,4
Optimization 2,scenario_4,-0.51750,89,11,100,89.00000,4
Transformer,scenario_4,-0.59560,85,15,100,85.00000,4
Automation,scenario_5,-24.94750,13,87,100,13.00000,5
Optimization 1,scenario_5,-16.65510,91,9,100,91.00000,5
Optimization 2,scenario_5,-1.80198,97,3,100,97.00000,5
Transformer,scenario_5,-0.95990,96,4,100,96.00000,5
Automation,scenario_6,-20.97470,13,87,100,13.00000,6
Optimization 1,scenario_6,-16.73160,91,9,100,91.00000,6
Optimization 2,scenario_6,-2.46793,97,3,100,97.00000,6
Transformer,scenario_6,-2.49100,94,6,100,94.00000,6
Automation,scenario_7,-17.78630,14,86,100,14.00000,7
Optimization 1,scenario_7,-17.08800,91,9,100,91.00000,7
Optimization 2,scenario_7,-2.38213,95,5,100,95.00000,7
Transformer,scenario_7,-2.58220,89,11,100,89.00000,7
Automation,scenario_8,-19.00270,12,88,100,12.00000,8
Optimization 1,scenario_8,-16.92290,91,9,100,91.00000,8
Optimization 2,scenario_8,-2.85357,96,4,100,96.00000,8
Transformer,scenario_8,-2.95240,93,7,100,93.00000,8
Automation,scenario_9,-20.14720,14,86,100,14.00000,9
Optimization 1,scenario_9,-15.84750,89,11,100,89.00000,9
Optimization 2,scenario_9,-1.46529,95,5,100,95.00000,9
Transformer,scenario_9,-1.63530,88,12,100,88.00000,9
Automation,scenario_10,-19.22740,14,86,100,14.00000,10
Optimization 1,scenario_10,-18.51000,87,13,100,87.00000,10
Optimization 2,scenario_10,-4.84411,90,10,100,90.00000,10
Transformer,scenario_10,-4.60090,81,19,100,81.00000,10
Automation,scenario_11,-17.81270,12,88,100,12.00000,11
Optimization 1,scenario_11,-17.35610,91,9,100,91.00000,11
Optimization 2,scenario_11,-0.90627,96,4,100,96.00000,11
Transformer,scenario_11,-1.10910,87,13,100,87.00000,11
Automation,scenario_12,-18.11710,11,89,100,11.00000,12
Optimization 1,scenario_12,-17.10330,91,9,100,91.00000,12
Optimization 2,scenario_12,-2.75240,95,5,100,95.00000,12
Transformer,scenario_12,-3.44320,88,12,100,88.00000,12
Automation,scenario_13,-18.44970,13,87,100,13.00000,13
Optimization 1,scenario_13,-15.79160,90,10,100,90.00000,13
Optimization 2,scenario_13,-0.44304,96,4,100,96.00000,13
Transformer,scenario_13,-1.64200,86,14,100,86.00000,13
Automation,scenario_14,-45.68150,14,86,100,14.00000,14
Optimization 1,scenario_14,-15.79740,91,9,100,91.00000,14
Optimization 2,scenario_14,-1.92392,95,5,100,95.00000,14
Transformer,scenario_14,-1.71110,85,15,100,85.00000,14
Automation,scenario_15,-32.15280,14,86,100,14.00000,15
Optimization 1,scenario_15,-16.32340,91,9,100,91.00000,15
Optimization 2,scenario_15,-3.06338,95,5,100,95.00000,15
Transformer,scenario_15,-3.15520,88,12,100,88.00000,15
Automation,scenario_16,-23.64680,11,89,100,11.00000,16
Optimization 1,scenario_16,-16.31490,90,10,100,90.00000,16
Optimization 2,scenario_16,-1.53341,94,6,100,94.00000,16
Transformer,scenario_16,-1.84530,90,10,100,90.00000,16
Automation,scenario_17,-17.77340,13,87,100,13.00000,17
Optimization 1,scenario_17,-17.26570,89,11,100,89.00000,17
Optimization 2,scenario_17,-2.74858,92,8,100,92.00000,17
Transformer,scenario_17,-3.12920,84,16,100,84.00000,17
Automation,scenario_18,-18.32510,10,90,100,10.00000,18
Optimization 1,scenario_18,-17.23950,86,14,100,86.00000,18
Optimization 2,scenario_18,-0.55547,93,7,100,93.00000,18
Transformer,scenario_18,-1.41740,86,14,100,86.00000,18
Automation,scenario_19,-18.06110,13,87,100,13.00000,19
Optimization 1,scenario_19,-17.08760,89,11,100,89.00000,19
Optimization 2,scenario_19,-3.80889,91,9,100,91.00000,19
