pair_label,mt,delta_t,tm,tb,main_relay_id,backup_relay_id,line,fault,status
R9-R8,-2.3635,-2.3635,2.1635,0.0,R9,R8,L9-10,10,Descoordinado
R9-R71,-2.3635,-2.3635,2.1635,0.0,R9,R71,L9-10,10,Descoordinado
R45-R46,-2.3212,-2.3212,2.1212,0.0,R45,R46,L8-9,90,Descoordinado
R45-R71,-2.3212,-2.3212,2.1212,0.0,R45,R71,L8-9,90,Descoordinado
R2-R1,-2.1782,-2.1782,1.9782,0.0,R2,R1,L2-3,10,Descoordinado
R34-R8,-2.0491,-2.0491,1.8491,0.0,R34,R8,L9-15,10,Descoordinado
R34-R46,-2.0491,-2.0491,1.8491,0.0,R34,R46,L9-15,10,Descoordinado
R18-R1,-1.1745,-1.1745,0.9745,0.0,R18,R1,L2-19,10,Descoordinado
R46-R47,-0.1957,-0.1957,0.2328,0.2371,R46,R47,L9-10,90,Descoordinado
R10-R9,-0.007100000000000162,-0.007100000000000162,2.2881,2.481,R10,R9,L10-11,10,Descoordinado
R22-R40,0.0,0.011100000000000054,1.9194,2.1305,R22,R40,L3-23,10,Coordinado
R67-R68,0.0,0.014200000000000157,1.8132,2.0274,R67,R68,L30-31,90,Coordinado
R30-R29,0.0,0.02579999999999999,1.6783,1.9041,R30,R29,L30-31,10,Coordinado
R40-R41,0.0,0.055000000000000104,1.9843,2.2393,R40,R41,L3-4,90,Coordinado
R3-R59,0.0,0.01789999999999997,1.7994,2.0173,R3,R59,L3-4,10,Coordinado
R3-R2,0.0,0.1305,1.7994,2.1299,R3,R2,L3-4,10,Coordinado
R59-R60,0.0,0.052599999999999925,1.6956,1.9482,R59,R60,L3-23,90,Coordinado
R22-R2,0.0,0.01050000000000012,1.9194,2.1299,R22,R2,L3-23,10,Coordinado
R38-R39,0.0,0.9111,0.1278,1.2389,R38,R39,L1-2,90,Coordinado
R29-R37,0.0,0.022899999999999865,1.8347,2.0576,R29,R37,L29-30,10,Coordinado
R29-R28,0.0,0.05980000000000002,1.8347,2.0945,R29,R28,L29-30,10,Coordinado
R65-R66,0.0,0.3133000000000001,1.4152,1.9285,R65,R66,L28-29,90,Coordinado
R31-R30,0.0,0.04539999999999983,1.5817,1.8271,R31,R30,L31-32,10,Coordinado
R28-R27,0.0,0.03330000000000005,1.8467,2.08,R28,R27,L28-29,10,Coordinado
R64-R65,0.0,0.07749999999999985,1.3886,1.6661,R64,R65,L27-28,90,Coordinado
R27-R26,0.0,0.028800000000000103,1.8026,2.0314,R27,R26,L27-28,10,Coordinado
R63-R64,0.0,0.08729999999999988,1.6972,1.9845,R63,R64,L26-27,90,Coordinado
R26-R25,0.0,0.025400000000000034,1.9468,2.1722,R26,R25,L26-27,10,Coordinado
R66-R67,0.0,0.04839999999999994,1.7874,2.0358,R66,R67,L29-30,90,Coordinado
R65-R37,0.0,0.47879999999999984,1.4152,2.094,R65,R37,L28-29,90,Coordinado
R69-R36,0.0,0.0017999999999999683,2.085,2.2868,R69,R36,L32-33,90,Coordinado
R32-R31,0.0,0.020700000000000107,1.4263,1.647,R32,R31,L32-33,10,Coordinado
R8-R70,0.0,1.9622999999999997,0.2987,2.461,R8,R70,L8-9,10,Coordinado
R8-R7,0.0,0.5312000000000001,0.2987,1.0299,R8,R7,L8-9,10,Coordinado
R44-R45,0.0,0.047100000000000086,2.2308,2.4779,R44,R45,L7-8,90,Coordinado
R44-R70,0.0,0.03019999999999995,2.2308,2.461,R44,R70,L7-8,90,Coordinado
R7-R6,0.0,0.0013000000000000234,0.4609,0.6622,R7,R6,L7-8,10,Coordinado
R43-R44,0.0,0.017400000000000027,2.1988,2.4162,R43,R44,L6-7,90,Coordinado
R6-R62,0.0,1.4897000000000002,0.5101,2.1998,R6,R62,L6-7,10,Coordinado
R6-R5,0.0,1.7809000000000001,0.5101,2.491,R6,R5,L6-7,10,Coordinado
R62-R63,0.0,0.048199999999999965,1.7259,1.9741,R62,R63,L6-26,90,Coordinado
R25-R43,0.0,0.032899999999999874,2.1269,2.3598,R25,R43,L6-26,10,Coordinado
R25-R5,0.0,0.07070000000000015,2.1269,2.3976,R25,R5,L6-26,10,Coordinado
R42-R62,0.0,0.12459999999999977,2.0684,2.393,R42,R62,L5-6,90,Coordinado
R42-R43,0.0,0.1187000000000002,2.0684,2.3871,R42,R43,L5-6,90,Coordinado
R5-R4,0.0,0.0510000000000001,1.5873,1.8383,R5,R4,L5-6,10,Coordinado
R41-R42,0.0,0.02679999999999988,2.1145,2.3413,R41,R42,L4-5,90,Coordinado
R4-R3,0.0,0.06169999999999981,1.6565,1.9182,R4,R3,L4-5,10,Coordinado
R74-R66,0.0,0.06350000000000006,1.665,1.9285,R74,R66,L25-29,90,Coordinado
R68-R69,0.0,0.03360000000000002,1.9367,2.1703,R68,R69,L31-32,90,Coordinado
R74-R28,0.0,0.25169999999999976,1.665,2.1167,R74,R28,L25-29,90,Coordinado
R61-R74,0.0,0.003599999999999992,1.5868,1.7904,R61,R74,L24-25,90,Coordinado
R71-R14,0.0,2.0178,0.3512,2.569,R71,R14,L9-15,90,Coordinado
R54-R73,0.0,0.04770000000000002,1.1128,1.3605,R54,R73,L17-18,90,Coordinado
R17-R16,0.0,0.006700000000000095,2.2396,2.4463,R17,R16,L17-18,10,Coordinado
R53-R54,0.0,0.033899999999999986,0.9899,1.2238,R53,R54,L16-17,90,Coordinado
R16-R15,0.0,0.035300000000000054,2.1578,2.3931,R16,R15,L16-17,10,Coordinado
R52-R53,0.0,0.08899999999999991,1.0397,1.3287,R52,R53,L15-16,90,Coordinado
R15-R34,0.0,0.03760000000000002,2.2462,2.4838,R15,R34,L15-16,10,Coordinado
R15-R14,0.0,0.007399999999999796,2.2462,2.4536,R15,R14,L15-16,10,Coordinado
R51-R34,0.0,1.1907,1.0931,2.4838,R51,R34,L14-15,90,Coordinado
R51-R52,0.0,0.07029999999999997,1.0931,1.3634,R51,R52,L14-15,90,Coordinado
R36-R17,0.0,0.0019000000000001793,2.1711,2.373,R36,R17,L18-33,10,Coordinado
R14-R13,0.0,0.050700000000000134,2.1353,2.386,R14,R13,L14-15,10,Coordinado
R13-R12,0.0,0.054599999999999926,2.1379,2.3925,R13,R12,L13-14,10,Coordinado
R49-R50,0.0,0.04839999999999983,0.8534,1.1018,R49,R50,L12-13,90,Coordinado
R12-R72,0.0,0.007100000000000051,2.015,2.2221,R12,R72,L12-13,10,Coordinado
R12-R11,0.0,0.0004999999999998894,2.015,2.2155,R12,R11,L12-13,10,Coordinado
R48-R72,0.0,1.5151999999999999,0.4236,2.1388,R48,R72,L11-12,90,Coordinado
R48-R49,0.0,0.6384000000000001,0.4236,1.262,R48,R49,L11-12,90,Coordinado
R11-R10,0.0,0.056899999999999895,2.0872,2.3441,R11,R10,L11-12,10,Coordinado
R47-R48,0.0,0.07370000000000004,0.206,0.4797,R47,R48,L10-11,90,Coordinado
R38-R55,0.0,1.8823999999999999,0.1278,2.2102,R38,R55,L1-2,90,Coordinado
R50-R51,0.0,0.0016999999999998683,0.9805,1.1822,R50,R51,L13-14,90,Coordinado
R73-R32,0.0,0.005699999999999983,1.2885,1.4942,R73,R32,L18-33,90,Coordinado
R19-R18,0.0,0.005400000000000016,0.8167,1.0221,R19,R18,L19-20,10,Coordinado
R56-R57,0.0,0.041499999999999815,1.9813,2.2228,R56,R57,L19-20,90,Coordinado
R24-R23,0.0,0.03560000000000002,1.7768,2.0124,R24,R23,L24-25,10,Coordinado
R60-R61,0.0,0.05330000000000007,1.5853,1.8386,R60,R61,L23-24,90,Coordinado
R23-R22,0.0,0.03760000000000002,1.79,2.0276,R23,R22,L23-24,10,Coordinado
R35-R49,0.0,0.013299999999999812,2.3172,2.5305,R35,R49,L12-22,90,Coordinado
R35-R11,0.0,0.27689999999999965,2.3172,2.7941,R35,R11,L12-22,90,Coordinado
R72-R21,0.0,0.040600000000000025,0.9705,1.2111,R72,R21,L12-22,10,Coordinado
R70-R20,0.0,0.02799999999999997,0.8591,1.0871,R70,R20,L8-21,90,Coordinado
R70-R58,0.0,1.3309000000000002,0.8591,2.39,R70,R58,L8-21,90,Coordinado
R33-R45,0.0,0.6413999999999997,1.7008,2.5422,R33,R45,L8-21,10,Coordinado
R33-R7,0.0,0.054799999999999904,1.7008,1.9556,R33,R7,L8-21,10,Coordinado
R58-R35,0.0,0.04980000000000001,2.0298,2.2796,R58,R35,L21-22,90,Coordinado
R21-R33,0.0,1.4323,0.7044,2.3367,R21,R33,L21-22,10,Coordinado
R21-R20,0.0,0.1215,0.7044,1.0259,R21,R20,L21-22,10,Coordinado
R57-R33,0.0,0.030399999999999927,2.0848,2.3152,R57,R33,L20-21,90,Coordinado
R57-R58,0.0,0.045000000000000095,2.0848,2.3298,R57,R58,L20-21,90,Coordinado
R20-R19,0.0,0.012500000000000011,0.8644,1.0769,R20,R19,L20-21,10,Coordinado
R39-R59,0.0,0.6346,1.1827,2.0173,R39,R59,L2-3,90,Coordinado
R39-R40,0.0,0.7478,1.1827,2.1305,R39,R40,L2-3,90,Coordinado
R2-R55,0.0,0.056100000000000205,1.9782,2.2343,R2,R55,L2-3,10,Coordinado
R55-R56,0.0,0.04990000000000022,2.1437,2.3936,R55,R56,L2-19,90,Coordinado
R18-R39,0.0,0.06439999999999985,0.9745,1.2389,R18,R39,L2-19,10,Coordinado
R37-R24,0.0,0.03880000000000011,1.8326,2.0714,R37,R24,L25-29,10,Coordinado
R71-R52,0.0,1.0191000000000001,0.3512,1.5703,R71,R52,L9-15,90,Coordinado
