pair_label,mt,delta_t,tm,tb,main_relay_id,backup_relay_id,line,fault,status
R19-R18,-0.139000,-0.139000,1.552300,1.613300,R19,R18,L19-20,10,Miscoordinated
R11-R10,-0.120100,-0.120100,1.987000,2.066900,R11,R10,L11-12,10,Miscoordinated
R12-R11,-0.106900,-0.106900,2.029400,2.122500,R12,R11,L12-13,10,Miscoordinated
R10-R9,-0.096700,-0.096700,2.016500,2.119800,R10,R9,L10-11,10,Miscoordinated
R23-R22,-0.075000,-0.075000,2.121800,2.246800,R23,R22,L23-24,10,Miscoordinated
R44-R70,-0.065200,-0.065200,2.414900,2.549700,R44,R70,L7-8,90,Miscoordinated
R13-R12,-0.064400,-0.064400,2.333700,2.469300,R13,R12,L13-14,10,Miscoordinated
R17-R16,-0.025500,-0.025500,2.552200,2.726700,R17,R16,L17-18,10,Miscoordinated
R20-R19,-0.015600,-0.015600,1.880100,2.064500,R20,R19,L20-21,10,Miscoordinated
R70-R20,-0.011600,-0.011600,1.866800,2.055200,R70,R20,L8-21,90,Miscoordinated
R15-R34,-0.009300,-0.009300,2.338000,2.528700,R15,R34,L15-16,10,Miscoordinated
R15-R14,-0.007200,-0.007200,2.338000,2.530800,R15,R14,L15-16,10,Miscoordinated
R24-R23,-0.002800,-0.002800,2.406400,2.603600,R24,R23,L24-25,10,Miscoordinated
R31-R30,0.000000,0.010200,2.691300,2.901500,R31,R30,L31-32,10,Coordinated
R68-R69,0.000000,0.008700,2.250800,2.459500,R68,R69,L31-32,90,Coordinated
R30-R29,0.000000,0.211400,2.465100,2.876500,R30,R29,L30-31,10,Coordinated
R40-R41,0.000000,0.018800,1.833700,2.052500,R40,R41,L3-4,90,Coordinated
R3-R59,0.000000,0.242000,2.121800,2.563800,R3,R59,L3-4,10,Coordinated
R32-R31,0.000000,0.107000,2.531500,2.838500,R32,R31,L32-33,10,Coordinated
R67-R68,0.000000,0.014400,2.117600,2.332000,R67,R68,L30-31,90,Coordinated
R38-R39,0.000000,1.237900,0.198900,1.636800,R38,R39,L1-2,90,Coordinated
R59-R60,0.000000,0.037200,1.610600,1.847800,R59,R60,L3-23,90,Coordinated
R22-R40,0.000000,0.045900,1.939400,2.185300,R22,R40,L3-23,10,Coordinated
R22-R2,0.000000,0.261800,1.939400,2.401200,R22,R2,L3-23,10,Coordinated
R66-R67,0.000000,0.044800,2.065300,2.310100,R66,R67,L29-30,90,Coordinated
R29-R37,0.000000,0.034400,2.616600,2.851000,R29,R37,L29-30,10,Coordinated
R29-R28,0.000000,0.153000,2.616600,2.969600,R29,R28,L29-30,10,Coordinated
R65-R66,0.000000,0.045000,1.959400,2.204400,R65,R66,L28-29,90,Coordinated
R65-R37,0.000000,0.711300,1.959400,2.870700,R65,R37,L28-29,90,Coordinated
R3-R2,0.000000,0.064700,2.121800,2.386500,R3,R2,L3-4,10,Coordinated
R69-R36,0.000000,0.033300,2.377500,2.610800,R69,R36,L32-33,90,Coordinated
R42-R62,0.000000,0.043800,1.850900,2.094700,R42,R62,L5-6,90,Coordinated
R41-R42,0.000000,0.002300,1.895400,2.097700,R41,R42,L4-5,90,Coordinated
R34-R46,0.000000,0.724100,1.860000,2.784100,R34,R46,L9-15,10,Coordinated
R34-R8,0.000000,0.027200,1.860000,2.087200,R34,R8,L9-15,10,Coordinated
R46-R47,0.000000,0.000400,1.820300,2.020700,R46,R47,L9-10,90,Coordinated
R9-R71,0.000000,0.663300,1.816600,2.679900,R9,R71,L9-10,10,Coordinated
R9-R8,0.000000,0.016400,1.816600,2.033000,R9,R8,L9-10,10,Coordinated
R45-R71,0.000000,0.042100,2.261900,2.504000,R45,R71,L8-9,90,Coordinated
R45-R46,0.000000,0.026500,2.261900,2.488400,R45,R46,L8-9,90,Coordinated
R8-R70,0.000000,0.719000,1.677100,2.596100,R8,R70,L8-9,10,Coordinated
R8-R7,0.000000,0.026600,1.677100,1.903700,R8,R7,L8-9,10,Coordinated
R4-R3,0.000000,0.034900,2.165400,2.400300,R4,R3,L4-5,10,Coordinated
R44-R45,0.000000,0.047300,2.414900,2.662200,R44,R45,L7-8,90,Coordinated
R43-R44,0.000000,0.014600,2.439300,2.653900,R43,R44,L6-7,90,Coordinated
R6-R62,0.000000,0.040400,1.826300,2.066700,R6,R62,L6-7,10,Coordinated
R6-R5,0.000000,0.663800,1.826300,2.690100,R6,R5,L6-7,10,Coordinated
R62-R63,0.000000,0.018000,1.947900,2.165900,R62,R63,L6-26,90,Coordinated
R25-R43,0.000000,0.024100,2.407200,2.631300,R25,R43,L6-26,10,Coordinated
R25-R5,0.000000,0.071300,2.407200,2.678500,R25,R5,L6-26,10,Coordinated
R28-R27,0.000000,0.000600,2.582900,2.783500,R28,R27,L28-29,10,Coordinated
