pair_label,mt,delta_t,tm,tb,main_relay_id,backup_relay_id,line,fault,status
R9-R71,-2.2983000000000002,-2.2983000000000002,2.0983,0.0,R9,R71,L9-10,10,Descoordinado
R9-R8,-2.2983000000000002,-2.2983000000000002,2.0983,0.0,R9,R8,L9-10,10,Descoordinado
R45-R71,-2.1747,-2.1747,1.9747,0.0,R45,R71,L8-9,90,Descoordinado
R45-R46,-2.1747,-2.1747,1.9747,0.0,R45,R46,L8-9,90,Descoordinado
R2-R1,-2.1005000000000003,-2.1005000000000003,1.9005,0.0,R2,R1,L2-3,10,Descoordinado
R34-R46,-1.9684,-1.9684,1.7684,0.0,R34,R46,L9-15,10,Descoordinado
R34-R8,-1.9684,-1.9684,1.7684,0.0,R34,R8,L9-15,10,Descoordinado
R18-R1,-1.2,-1.2,1.0,0.0,R18,R1,L2-19,10,Descoordinado
R46-R47,-0.14009999999999997,-0.14009999999999997,0.2206,0.2805,R46,R47,L9-10,90,Descoordinado
R59-R60,0.0,0.07319999999999988,1.5381,1.8113,R59,R60,L3-23,90,Coordinado
R3-R2,0.0,0.22510000000000002,1.6374,2.0625,R3,R2,L3-4,10,Coordinado
R67-R68,0.0,0.044900000000000106,1.7024,1.9473,R67,R68,L30-31,90,Coordinado
R40-R41,0.0,0.025000000000000078,1.9617,2.1867,R40,R41,L3-4,90,Coordinado
R30-R29,0.0,0.011699999999999988,1.5666,1.7783,R30,R29,L30-31,10,Coordinado
R22-R40,0.0,0.07179999999999981,1.8306,2.1024,R22,R40,L3-23,10,Coordinado
R3-R59,0.0,0.016600000000000115,1.6374,1.854,R3,R59,L3-4,10,Coordinado
R22-R2,0.0,0.031899999999999984,1.8306,2.0625,R22,R2,L3-23,10,Coordinado
R38-R39,0.0,0.9187000000000001,0.1269,1.2456,R38,R39,L1-2,90,Coordinado
R29-R37,0.0,0.02700000000000008,1.7064,1.9334,R29,R37,L29-30,10,Coordinado
R29-R28,0.0,0.025200000000000056,1.7064,1.9316,R29,R28,L29-30,10,Coordinado
R65-R66,0.0,0.34970000000000007,1.2547,1.8044,R65,R66,L28-29,90,Coordinado
R28-R27,0.0,0.02589999999999998,1.6955,1.9214,R28,R27,L28-29,10,Coordinado
R64-R65,0.0,0.06339999999999985,1.209,1.4724,R64,R65,L27-28,90,Coordinado
R27-R26,0.0,0.05980000000000002,1.6593,1.9191,R27,R26,L27-28,10,Coordinado
R63-R64,0.0,0.002700000000000091,1.5245,1.7272,R63,R64,L26-27,90,Coordinado
R26-R25,0.0,0.011300000000000032,1.8392,2.0505,R26,R25,L26-27,10,Coordinado
R66-R67,0.0,0.023799999999999988,1.6786,1.9024,R66,R67,L29-30,90,Coordinado
R65-R37,0.0,0.5114000000000001,1.2547,1.9661,R65,R37,L28-29,90,Coordinado
R69-R36,0.0,0.06219999999999998,1.9905,2.2527,R69,R36,L32-33,90,Coordinado
R68-R69,0.0,0.02810000000000018,1.8631,2.0912,R68,R69,L31-32,90,Coordinado
R8-R70,0.0,2.0922,0.2905,2.5827,R8,R70,L8-9,10,Coordinado
R8-R7,0.0,0.6423000000000001,0.2905,1.1328,R8,R7,L8-9,10,Coordinado
R44-R45,0.0,0.09200000000000025,2.094,2.386,R44,R45,L7-8,90,Coordinado
R44-R70,0.0,0.07039999999999996,2.094,2.3644,R44,R70,L7-8,90,Coordinado
R7-R6,0.0,0.04570000000000002,0.507,0.7527,R7,R6,L7-8,10,Coordinado
R43-R44,0.0,0.044200000000000184,2.0789,2.3231,R43,R44,L6-7,90,Coordinado
R6-R62,0.0,1.2635999999999998,0.5626,2.0262,R6,R62,L6-7,10,Coordinado
R6-R5,0.0,1.4763000000000002,0.5626,2.2389,R6,R5,L6-7,10,Coordinado
R31-R30,0.0,0.021799999999999986,1.4933,1.7151,R31,R30,L31-32,10,Coordinado
R62-R63,0.0,0.12210000000000004,1.5404,1.8625,R62,R63,L6-26,90,Coordinado
R25-R5,0.0,0.03130000000000005,2.0076,2.2389,R25,R5,L6-26,10,Coordinado
R42-R62,0.0,0.038600000000000134,1.9946,2.2332,R42,R62,L5-6,90,Coordinado
R42-R43,0.0,0.0651000000000001,1.9946,2.2597,R42,R43,L5-6,90,Coordinado
R5-R4,0.0,0.04580000000000001,1.4645,1.7103,R5,R4,L5-6,10,Coordinado
R41-R42,0.0,0.0006999999999998674,2.0558,2.2565,R41,R42,L4-5,90,Coordinado
R4-R3,0.0,0.008699999999999875,1.5462,1.7549,R4,R3,L4-5,10,Coordinado
R74-R66,0.0,0.04849999999999993,1.5559,1.8044,R74,R66,L25-29,90,Coordinado
