pair_label,mt,delta_t,tm,tb,main_relay_id,backup_relay_id,line,fault,status
R2-R1,-2.5373,-2.5373,2.3373,0.0,R2,R1,L2-3,10,Descoordinado
R9-R71,-2.2012,-2.2012,2.0012,0.0,R9,R71,L9-10,10,Descoordinado
R9-R8,-2.2012,-2.2012,2.0012,0.0,R9,R8,L9-10,10,Descoordinado
R45-R46,-2.1929,-2.1929,1.9929,0.0,R45,R46,L8-9,90,Descoordinado
R45-R71,-2.1929,-2.1929,1.9929,0.0,R45,R71,L8-9,90,Descoordinado
R34-R46,-2.1749,-2.1749,1.9749,0.0,R34,R46,L9-15,10,Descoordinado
R34-R8,-2.1749,-2.1749,1.9749,0.0,R34,R8,L9-15,10,Descoordinado
R18-R1,-1.6979,-1.6979,1.4979,0.0,R18,R1,L2-19,10,Descoordinado
R43-R44,-0.2,-0.2,2.237,2.237,R43,R44,L6-7,90,Descoordinado
R11-R10,-0.2,-0.2,2.308,2.308,R11,R10,L11-12,10,Descoordinado
R47-R48,-0.2,-0.2,3.2968,3.2968,R47,R48,L10-11,90,Descoordinado
R10-R9,-0.2,-0.2,2.2596,2.2596,R10,R9,L10-11,10,Descoordinado
R26-R25,-0.17739999999999984,-0.17739999999999984,2.2144,2.237,R26,R25,L26-27,10,Descoordinado
R46-R47,-0.1630000000000001,-0.1630000000000001,3.6644,3.7014,R46,R47,L9-10,90,Descoordinado
R16-R15,-0.1062999999999999,-0.1062999999999999,2.2496,2.3433,R16,R15,L16-17,10,Descoordinado
R44-R45,-0.09749999999999998,-0.09749999999999998,2.1063,2.2088,R44,R45,L7-8,90,Descoordinado
R42-R43,-0.07519999999999999,-0.07519999999999999,2.2525,2.3773,R42,R43,L5-6,90,Descoordinado
R41-R42,-0.07159999999999994,-0.07159999999999994,2.4148,2.5432,R41,R42,L4-5,90,Descoordinado
R38-R39,-0.065,-0.065,1.6257,1.7607,R38,R39,L1-2,90,Descoordinado
R17-R16,-0.04140000000000016,-0.04140000000000016,2.3792,2.5378,R17,R16,L17-18,10,Descoordinado
R25-R43,-0.026299999999999824,-0.026299999999999824,2.1936,2.3673,R25,R43,L6-26,10,Descoordinado
R12-R11,-0.02329999999999971,-0.02329999999999971,2.2674,2.4441,R12,R11,L12-13,10,Descoordinado
R27-R26,-0.01180000000000031,-0.01180000000000031,2.1173,2.3055,R27,R26,L27-28,10,Descoordinado
R13-R12,-0.010200000000000042,-0.010200000000000042,2.5211,2.7109,R13,R12,L13-14,10,Descoordinado
R14-R13,-0.007400000000000351,-0.007400000000000351,2.6211,2.8137,R14,R13,L14-15,10,Descoordinado
R6-R5,0.0,0.1344999999999998,2.1554,2.4899,R6,R5,L6-7,10,Coordinado
R64-R65,0.0,0.02050000000000013,1.5431,1.7636,R64,R65,L27-28,90,Coordinado
R28-R27,0.0,0.01689999999999986,2.2229,2.4398,R28,R27,L28-29,10,Coordinado
R65-R37,0.0,0.8729000000000002,1.5181,2.591,R65,R37,L28-29,90,Coordinado
R65-R66,0.0,0.23890000000000006,1.5181,1.957,R65,R66,L28-29,90,Coordinado
R29-R28,0.0,0.035300000000000054,2.2942,2.5295,R29,R28,L29-30,10,Coordinado
R29-R37,0.0,0.0536999999999998,2.2942,2.5479,R29,R37,L29-30,10,Coordinado
R66-R67,0.0,0.05069999999999991,1.8269,2.0776,R66,R67,L29-30,90,Coordinado
R22-R2,0.0,0.07800000000000001,2.2584,2.5364,R22,R2,L3-23,10,Coordinado
R22-R40,0.0,0.023300000000000043,2.2584,2.4817,R22,R40,L3-23,10,Coordinado
R59-R60,0.0,0.03030000000000016,1.7267,1.957,R59,R60,L3-23,90,Coordinado
R3-R2,0.0,0.5626,1.7738,2.5364,R3,R2,L3-4,10,Coordinado
R3-R59,0.0,0.058999999999999886,1.7738,2.0328,R3,R59,L3-4,10,Coordinado
R40-R41,0.0,0.04560000000000003,2.3196,2.5652,R40,R41,L3-4,90,Coordinado
R67-R68,0.0,0.054699999999999915,1.8465,2.1012,R67,R68,L30-31,90,Coordinado
R6-R62,0.0,0.16539999999999971,2.1554,2.5208,R6,R62,L6-7,10,Coordinado
R31-R30,0.0,0.02449999999999991,2.1614,2.3859,R31,R30,L31-32,10,Coordinado
R68-R69,0.0,0.04440000000000016,2.016,2.2604,R68,R69,L31-32,90,Coordinado
R32-R31,0.0,0.031700000000000006,1.9979,2.2296,R32,R31,L32-33,10,Coordinado
R69-R36,0.0,0.03349999999999981,2.1606,2.3941,R69,R36,L32-33,90,Coordinado
R4-R3,0.0,0.03360000000000002,1.6642,1.8978,R4,R3,L4-5,10,Coordinado
R5-R4,0.0,0.025400000000000034,1.6098,1.8352,R5,R4,L5-6,10,Coordinado
R8-R70,0.0,0.061400000000000066,4.2797,4.5411,R8,R70,L8-9,10,Coordinado
R42-R62,0.0,0.23900000000000005,2.2525,2.6915,R42,R62,L5-6,90,Coordinado
R8-R7,0.0,0.02569999999999978,4.2797,4.5054,R8,R7,L8-9,10,Coordinado
R44-R70,0.0,2.2348,2.1063,4.5411,R44,R70,L7-8,90,Coordinado
R7-R6,0.0,0.015300000000000036,2.374,2.5893,R7,R6,L7-8,10,Coordinado
R62-R63,0.0,0.00699999999999984,2.0695,2.2765,R62,R63,L6-26,90,Coordinado
R30-R29,0.0,0.005499999999999783,2.1836,2.3891,R30,R29,L30-31,10,Coordinado
R25-R5,0.0,0.01039999999999991,2.1936,2.404,R25,R5,L6-26,10,Coordinado
R61-R74,0.0,0.043999999999999984,1.5994,1.8434,R61,R74,L24-25,90,Coordinado
R74-R66,0.0,0.055000000000000104,1.702,1.957,R74,R66,L25-29,90,Coordinado
R18-R39,0.0,0.06279999999999991,1.4979,1.7607,R18,R39,L2-19,10,Coordinado
R56-R57,0.0,0.07390000000000024,2.2167,2.4906,R56,R57,L19-20,90,Coordinado
R19-R18,0.0,0.019799999999999984,1.3463,1.5661,R19,R18,L19-20,10,Coordinado
R73-R32,0.0,0.013800000000000201,1.8938,2.1076,R73,R32,L18-33,90,Coordinado
R36-R17,0.0,0.024600000000000122,2.3017,2.5263,R36,R17,L18-33,10,Coordinado
R54-R73,0.0,0.05760000000000004,1.7386,1.9962,R54,R73,L17-18,90,Coordinado
R53-R54,0.0,0.014999999999999847,1.7194,1.9344,R53,R54,L16-17,90,Coordinado
R52-R53,0.0,0.03879999999999989,2.0691,2.3079,R52,R53,L15-16,90,Coordinado
R55-R56,0.0,0.009799999999999975,2.458,2.6678,R55,R56,L2-19,90,Coordinado
R15-R34,0.0,0.16220000000000007,2.202,2.5642,R15,R34,L15-16,10,Coordinado
R51-R34,0.0,0.006799999999999862,2.3574,2.5642,R51,R34,L14-15,90,Coordinado
R51-R52,0.0,0.3383,2.3574,2.8957,R51,R52,L14-15,90,Coordinado
R50-R51,0.0,0.005500000000000227,2.3377,2.5432,R50,R51,L13-14,90,Coordinado
R49-R50,0.0,0.08500000000000013,2.3083,2.5933,R49,R50,L12-13,90,Coordinado
R12-R72,0.0,0.9188000000000003,2.2674,3.3862,R12,R72,L12-13,10,Coordinado
R48-R72,0.0,0.04399999999999976,3.0255,3.2695,R48,R72,L11-12,90,Coordinado
R48-R49,0.0,0.009299999999999808,3.0255,3.2348,R48,R49,L11-12,90,Coordinado
R38-R55,0.0,0.7038000000000002,1.6257,2.5295,R38,R55,L1-2,90,Coordinado
R15-R14,0.0,0.6098000000000001,2.202,3.0118,R15,R14,L15-16,10,Coordinado
R2-R55,0.0,0.01810000000000017,2.3373,2.5554,R2,R55,L2-3,10,Coordinado
R39-R40,0.0,0.6047,1.677,2.4817,R39,R40,L2-3,90,Coordinado
R39-R59,0.0,0.15579999999999988,1.677,2.0328,R39,R59,L2-3,90,Coordinado
R74-R28,0.0,0.6534000000000002,1.702,2.5554,R74,R28,L25-29,90,Coordinado
R37-R24,0.0,0.025400000000000034,2.2537,2.4791,R37,R24,L25-29,10,Coordinado
R71-R14,0.0,0.08679999999999993,2.8666,3.1534,R71,R14,L9-15,90,Coordinado
R24-R23,0.0,0.0507999999999999,2.1456,2.3964,R24,R23,L24-25,10,Coordinado
R60-R61,0.0,0.049300000000000066,1.5893,1.8386,R60,R61,L23-24,90,Coordinado
R23-R22,0.0,0.0479,2.1316,2.3795,R23,R22,L23-24,10,Coordinado
R35-R49,0.0,2.6941,2.5563,5.4504,R35,R49,L12-22,90,Coordinado
R35-R11,0.0,0.2692000000000003,2.5563,3.0255,R35,R11,L12-22,90,Coordinado
R72-R21,0.0,0.038399999999999934,1.5163,1.7547,R72,R21,L12-22,10,Coordinado
R70-R20,0.0,0.0008000000000000784,1.6965,1.8973,R70,R20,L8-21,90,Coordinado
R70-R58,0.0,0.7407000000000001,1.6965,2.6372,R70,R58,L8-21,90,Coordinado
R33-R45,0.0,0.1515999999999999,1.8929,2.2445,R33,R45,L8-21,10,Coordinado
R33-R7,0.0,4.637,1.8929,6.7299,R33,R7,L8-21,10,Coordinado
R58-R35,0.0,0.08279999999999993,2.2341,2.5169,R58,R35,L21-22,90,Coordinado
R21-R33,0.0,1.353,1.0314,2.5844,R21,R33,L21-22,10,Coordinado
R21-R20,0.0,0.5661,1.0314,1.7975,R21,R20,L21-22,10,Coordinado
R57-R33,0.0,0.05019999999999997,2.3342,2.5844,R57,R33,L20-21,90,Coordinado
R57-R58,0.0,0.009299999999999808,2.3342,2.5435,R57,R58,L20-21,90,Coordinado
R20-R19,0.0,0.05470000000000014,1.5288,1.7835,R20,R19,L20-21,10,Coordinado
R63-R64,0.0,0.019599999999999784,1.9329,2.1525,R63,R64,L26-27,90,Coordinado
R71-R52,0.0,0.05599999999999977,2.8666,3.1226,R71,R52,L9-15,90,Coordinado
