pair_label,mt,delta_t,tm,tb,main_relay_id,backup_relay_id,line,fault,status
R9-R71,-1.3207,-1.3207,2.2753,1.1546,R9,R71,L9-10,10,Descoordinado
R45-R46,-0.9954999999999998,-0.9954999999999998,2.1973,1.4018,R45,R46,L8-9,90,Descoordinado
R45-R71,-0.4686000000000002,-0.4686000000000002,2.2612,1.9926,R45,R71,L8-9,90,Descoordinado
R2-R1,-0.3587000000000001,-0.3587000000000001,1.9838,1.8251,R2,R1,L2-3,10,Descoordinado
R33-R7,-0.17309999999999987,-0.17309999999999987,1.676,1.7029,R33,R7,L8-21,10,Descoordinado
R46-R47,-0.1564,-0.1564,0.2068,0.2504,R46,R47,L9-10,90,Descoordinado
R14-R13,-0.05800000000000011,-0.05800000000000011,2.4242,2.5662,R14,R13,L14-15,10,Descoordinado
R20-R19,-0.04880000000000001,-0.04880000000000001,1.0663,1.2175,R20,R19,L20-21,10,Descoordinado
R13-R12,-0.04450000000000004,-0.04450000000000004,2.357,2.5125,R13,R12,L13-14,10,Descoordinado
R12-R11,-0.028700000000000003,-0.028700000000000003,2.1414,2.3127,R12,R11,L12-13,10,Descoordinado
R51-R52,-0.020699999999999996,-0.020699999999999996,1.2767,1.456,R51,R52,L14-15,90,Descoordinado
R70-R20,-0.015500000000000125,-0.015500000000000125,1.0578,1.2423,R70,R20,L8-21,90,Descoordinado
R68-R69,-0.007100000000000162,-0.007100000000000162,1.9588,2.1517,R68,R69,L31-32,90,Descoordinado
R32-R31,-0.005099999999999938,-0.005099999999999938,1.4394,1.6343,R32,R31,L32-33,10,Descoordinado
R30-R29,-0.004599999999999993,-0.004599999999999993,1.6772,1.8726,R30,R29,L30-31,10,Descoordinado
R56-R57,-0.003300000000000136,-0.003300000000000136,1.9971,2.1938,R56,R57,L19-20,90,Descoordinado
R19-R18,-0.002899999999999958,-0.002899999999999958,0.9458,1.1429,R19,R18,L19-20,10,Descoordinado
R41-R42,-0.0005000000000000004,-0.0005000000000000004,2.1446,2.3441,R41,R42,L4-5,90,Descoordinado
R31-R30,0.0,0.017300000000000038,1.5784,1.7957,R31,R30,L31-32,10,Coordinado
R40-R41,0.0,0.06570000000000026,2.0119,2.2776,R40,R41,L3-4,90,Coordinado
R67-R68,0.0,0.003899999999999959,1.8582,2.0621,R67,R68,L30-31,90,Coordinado
R38-R39,0.0,0.9681,0.1259,1.294,R38,R39,L1-2,90,Coordinado
R3-R2,0.0,0.34590000000000004,1.7277,2.2736,R3,R2,L3-4,10,Coordinado
R59-R60,0.0,0.053399999999999836,1.6747,1.9281,R59,R60,L3-23,90,Coordinado
R22-R2,0.0,0.12149999999999989,1.92,2.2415,R22,R2,L3-23,10,Coordinado
R66-R67,0.0,0.04330000000000006,1.7683,2.0116,R66,R67,L29-30,90,Coordinado
R29-R37,0.0,0.10849999999999999,1.7862,2.0947,R29,R37,L29-30,10,Coordinado
R29-R28,0.0,0.02029999999999993,1.8369,2.0572,R29,R28,L29-30,10,Coordinado
R65-R66,0.0,0.2945999999999999,1.4185,1.9131,R65,R66,L28-29,90,Coordinado
R65-R37,0.0,0.48730000000000023,1.4018,2.0891,R65,R37,L28-29,90,Coordinado
R28-R27,0.0,0.009200000000000041,1.8144,2.0236,R28,R27,L28-29,10,Coordinado
R3-R59,0.0,0.08360000000000006,1.7354,2.019,R3,R59,L3-4,10,Coordinado
R22-R40,0.0,0.10249999999999998,1.9153,2.2178,R22,R40,L3-23,10,Coordinado
R42-R43,0.0,0.12259999999999999,2.1121,2.4347,R42,R43,L5-6,90,Coordinado
R4-R3,0.0,0.03809999999999997,1.5979,1.836,R4,R3,L4-5,10,Coordinado
R34-R46,0.0,0.7794000000000003,1.9929,2.9723,R34,R46,L9-15,10,Coordinado
R34-R8,0.0,0.10770000000000007,2.0402,2.3479,R34,R8,L9-15,10,Coordinado
R9-R8,0.0,0.16120000000000018,2.3013,2.6625,R9,R8,L9-10,10,Coordinado
R8-R70,0.0,2.5157,0.2771,2.9928,R8,R70,L8-9,10,Coordinado
R8-R7,0.0,0.6661999999999999,0.2491,1.1153,R8,R7,L8-9,10,Coordinado
R44-R45,0.0,0.11179999999999984,2.2706,2.5824,R44,R45,L7-8,90,Coordinado
R44-R70,0.0,0.20629999999999987,2.2508,2.6571,R44,R70,L7-8,90,Coordinado
R7-R6,0.0,0.1865,0.4973,0.8838,R7,R6,L7-8,10,Coordinado
R43-R44,0.0,0.03989999999999999,2.2311,2.471,R43,R44,L6-7,90,Coordinado
R6-R62,0.0,1.4435,0.6029,2.2464,R6,R62,L6-7,10,Coordinado
R6-R5,0.0,1.5961999999999998,0.5619,2.3581,R6,R5,L6-7,10,Coordinado
R62-R63,0.0,0.11659999999999976,1.7174,2.034,R62,R63,L6-26,90,Coordinado
R25-R43,0.0,0.01869999999999966,2.1474,2.3661,R25,R43,L6-26,10,Coordinado
R25-R5,0.0,0.12089999999999995,2.1212,2.4421,R25,R5,L6-26,10,Coordinado
R42-R62,0.0,0.21690000000000004,2.1002,2.5171,R42,R62,L5-6,90,Coordinado
R64-R65,0.0,0.10129999999999989,1.3601,1.6614,R64,R65,L27-28,90,Coordinado
R5-R4,0.0,0.03009999999999996,1.5441,1.7742,R5,R4,L5-6,10,Coordinado
R69-R36,0.0,0.1889,2.1226,2.5115,R69,R36,L32-33,90,Coordinado
R27-R26,0.0,0.00830000000000014,1.7991,2.0074,R27,R26,L27-28,10,Coordinado
R61-R74,0.0,0.04239999999999994,1.5562,1.7986,R61,R74,L24-25,90,Coordinado
R26-R25,0.0,0.023099999999999843,1.9462,2.1693,R26,R25,L26-27,10,Coordinado
R73-R32,0.0,0.036099999999999965,1.2747,1.5108,R73,R32,L18-33,90,Coordinado
R36-R17,0.0,0.046699999999999686,2.4216,2.6683,R36,R17,L18-33,10,Coordinado
R54-R73,0.0,0.04899999999999988,1.1347,1.3837,R54,R73,L17-18,90,Coordinado
R17-R16,0.0,0.07550000000000007,2.4838,2.7593,R17,R16,L17-18,10,Coordinado
R53-R54,0.0,0.07990000000000003,1.0259,1.3058,R53,R54,L16-17,90,Coordinado
R16-R15,0.0,0.016099999999999948,2.4066,2.6227,R16,R15,L16-17,10,Coordinado
R52-R53,0.0,0.22499999999999992,0.9947,1.4197,R52,R53,L15-16,90,Coordinado
R15-R34,0.0,0.04949999999999982,2.422,2.6715,R15,R34,L15-16,10,Coordinado
R15-R14,0.0,0.19080000000000003,2.4391,2.8299,R15,R14,L15-16,10,Coordinado
R51-R34,0.0,1.0940000000000003,1.3113,2.6053,R51,R34,L14-15,90,Coordinado
R50-R51,0.0,0.04089999999999988,1.1387,1.3796,R50,R51,L13-14,90,Coordinado
R49-R50,0.0,0.03249999999999992,1.0476,1.2801,R49,R50,L12-13,90,Coordinado
R12-R72,0.0,0.22770000000000018,2.1569,2.5846,R12,R72,L12-13,10,Coordinado
R48-R72,0.0,2.0940999999999996,0.3433,2.6374,R48,R72,L11-12,90,Coordinado
R48-R49,0.0,0.9172,0.3469,1.4641,R48,R49,L11-12,90,Coordinado
R11-R10,0.0,0.023999999999999744,2.2402,2.4642,R11,R10,L11-12,10,Coordinado
R47-R48,0.0,0.04550000000000001,0.1742,0.4197,R47,R48,L10-11,90,Coordinado
R10-R9,0.0,0.11929999999999968,2.3919,2.7112,R10,R9,L10-11,10,Coordinado
R38-R55,0.0,1.9307999999999998,0.125,2.2558,R38,R55,L1-2,90,Coordinado
R18-R1,0.0,0.26130000000000003,1.1046,1.5659,R18,R1,L2-19,10,Coordinado
R63-R64,0.0,0.053700000000000025,1.6963,1.95,R63,R64,L26-27,90,Coordinado
R18-R39,0.0,0.018500000000000127,1.0991,1.3176,R18,R39,L2-19,10,Coordinado
R2-R55,0.0,0.04800000000000021,2.025,2.273,R2,R55,L2-3,10,Coordinado
R74-R66,0.0,0.11549999999999988,1.6328,1.9483,R74,R66,L25-29,90,Coordinado
R74-R28,0.0,0.2790000000000001,1.6353,2.1143,R74,R28,L25-29,90,Coordinado
R37-R24,0.0,0.07370000000000004,1.8444,2.1181,R37,R24,L25-29,10,Coordinado
R71-R14,0.0,2.4193,0.3084,2.9277,R71,R14,L9-15,90,Coordinado
R24-R23,0.0,0.032900000000000096,1.8156,2.0485,R24,R23,L24-25,10,Coordinado
R60-R61,0.0,0.08079999999999993,1.5344,1.8152,R60,R61,L23-24,90,Coordinado
R23-R22,0.0,0.026700000000000113,1.8119,2.0386,R23,R22,L23-24,10,Coordinado
R35-R49,0.0,0.0012000000000000344,2.2202,2.4214,R35,R49,L12-22,90,Coordinado
R35-R11,0.0,0.48710000000000003,2.3122,2.9993,R35,R11,L12-22,90,Coordinado
R72-R21,0.0,0.07580000000000003,1.123,1.3988,R72,R21,L12-22,10,Coordinado
R70-R58,0.0,1.1283,1.0337,2.362,R70,R58,L8-21,90,Coordinado
R33-R45,0.0,0.7325999999999999,1.6673,2.5999,R33,R45,L8-21,10,Coordinado
R58-R35,0.0,0.018900000000000083,2.0236,2.2425,R58,R35,L21-22,90,Coordinado
R21-R33,0.0,1.2742,0.8221,2.2963,R21,R33,L21-22,10,Coordinado
R21-R20,0.0,0.2557,0.8127,1.2684,R21,R20,L21-22,10,Coordinado
