Escenario,Pares evaluados,Pares válidos,Descoordinados,pct_descoord,TMT_negativo,indice
scenario_41,100,100,26,26.0,-16.1407,Malo
scenario_40,100,100,24,24.0,-15.7962,Malo
scenario_49,100,100,23,23.0,-15.6765,Malo
scenario_52,100,100,9,9.0,-15.4226,Malo
scenario_50,100,100,9,9.0,-15.3647,Malo
scenario_51,100,100,9,9.0,-15.3035,Malo
scenario_11,100,100,16,16.0,-15.2263,Malo
scenario_19,100,100,11,11.0,-15.1275,Malo
scenario_43,100,100,18,18.0,-15.096,Malo
scenario_39,100,100,9,9.0,-15.0605,Malo
scenario_42,100,100,22,22.0,-15.04,Malo
scenario_48,100,100,20,20.0,-14.9716,Malo
scenario_17,100,100,15,15.0,-14.9712,Malo
scenario_44,100,100,16,16.0,-14.9288,Malo
scenario_13,100,100,14,14.0,-14.8995,Malo
scenario_10,100,100,11,11.0,-14.7749,Malo
scenario_18,100,100,13,13.0,-14.7656,Malo
scenario_7,100,100,9,9.0,-14.7517,Malo
scenario_12,100,100,16,16.0,-14.735,Malo
scenario_46,100,100,19,19.0,-14.7329,Malo
scenario_14,100,100,14,14.0,-14.6804,Malo
scenario_45,100,100,23,23.0,-14.6643,Malo
scenario_47,100,100,23,23.0,-14.654,Malo
scenario_8,100,100,11,11.0,-14.4887,Malo
scenario_5,100,100,10,10.0,-14.4276,Malo
scenario_6,100,100,9,9.0,-14.4177,Malo
scenario_20,100,100,9,9.0,-14.3601,Malo
scenario_3,100,100,9,9.0,-14.2484,Malo
scenario_37,100,100,9,9.0,-14.1898,Malo
scenario_38,100,100,9,9.0,-14.0657,Malo
scenario_2,100,100,10,10.0,-13.958,Malo
scenario_16,100,100,11,11.0,-13.8589,Malo
scenario_15,100,100,17,17.0,-13.5756,Malo
scenario_9,100,100,9,9.0,-13.3405,Malo
scenario_29,100,100,5,5.0,-1.811,Bueno
scenario_4,100,100,10,10.0,-1.6377,Bueno
scenario_24,100,100,4,4.0,-1.2749,Bueno
scenario_31,100,100,6,6.0,-1.255,Bueno
scenario_36,100,100,4,4.0,-1.2178,Bueno
scenario_25,100,100,4,4.0,-1.217,Bueno
scenario_55,100,100,4,4.0,-0.9663,Bueno
scenario_26,100,100,4,4.0,-0.9031,Bueno
scenario_30,100,100,5,5.0,-0.8522,Bueno
scenario_21,100,100,6,6.0,-0.8233,Bueno
scenario_57,100,100,5,5.0,-0.8088,Bueno
scenario_56,100,100,6,6.0,-0.7648,Bueno
scenario_34,100,100,3,3.0,-0.7084,Bueno
scenario_54,100,100,5,5.0,-0.6925,Bueno
scenario_23,100,100,4,4.0,-0.6865,Bueno
scenario_63,100,100,5,5.0,-0.6515,Bueno
scenario_58,100,100,4,4.0,-0.6346,Bueno
scenario_1,100,100,8,8.0,-0.6269,Bueno
scenario_33,100,100,7,7.0,-0.6231,Bueno
scenario_66,100,100,2,2.0,-0.5804,Bueno
scenario_22,100,100,3,3.0,-0.5773,Bueno
scenario_59,100,100,7,7.0,-0.5674,Bueno
scenario_28,100,100,8,8.0,-0.5595,Bueno
scenario_67,100,100,2,2.0,-0.5396,Bueno
scenario_53,100,100,4,4.0,-0.5197,Bueno
scenario_60,100,100,3,3.0,-0.4049,Bueno
scenario_27,100,100,3,3.0,-0.3974,Bueno
scenario_32,100,100,2,2.0,-0.3921,Bueno
scenario_35,100,100,4,4.0,-0.3768,Bueno
scenario_68,100,100,5,5.0,-0.3414,Bueno
scenario_62,100,100,5,5.0,-0.3267,Bueno
scenario_61,100,100,3,3.0,-0.2776,Bueno
scenario_64,100,100,2,2.0,-0.2734,Bueno
scenario_65,100,100,2,2.0,-0.1757,Bueno
