Estado,Falla (%),Línea Principal,Relé Principal,TDS (Main),Pickup (Main),I_shc (Main),t_m (Main),Línea Backup,Relé Backup,TDS (Backup),Pickup (Backup),I_shc (Backup),t_b (Backup),Δt,MT
Coordinado,90,L1-2,R38,0.02500,0.08573,0.98,0.0701,L2-3,R39,0.02500,0.35316,0.58,0.351,0.08089999999999997,0.0
Coordinado,90,L1-2,R38,0.02500,0.08573,0.98,0.0701,L2-19,R55,0.09030,0.06884,0.4,0.3529,0.08279999999999998,0.0
Coordinado,10,L12-13,R12,0.03020,0.77367,2.11,0.2086,L12-22,R72,0.16794,0.05175,0.83,0.412,0.0033999999999999586,0.0
Coordinado,10,L2-19,R18,0.30480,0.1016,10.23,0.4416,L1-2,R1,0.35712,0.28208,9.71,0.6817,0.04009999999999997,0.0
Coordinado,10,L2-3,R2,0.24388,0.05718,9.81,0.315,L1-2,R1,0.35712,0.28208,9.49,0.6863,0.1713,0.0
Coordinado,10,L21-22,R21,0.04498,0.52538,2.8,0.185,L20-21,R20,0.23279,0.06046,1.84,0.461,0.07600000000000001,0.0
Coordinado,90,L8-21,R70,0.10362,0.17113,2.26,0.2739,L21-22,R58,0.16106,0.05192,0.51,0.4823,0.008400000000000019,0.0
Coordinado,90,L12-22,R35,0.03397,0.54403,1.72,0.2042,L11-12,R11,0.15331,0.05304,0.69,0.4076,0.003400000000000014,0.0
Coordinado,90,L12-22,R35,0.03397,0.54403,1.72,0.2042,L12-13,R49,0.10570,0.05194,0.27,0.4415,0.0373,0.0
Coordinado,90,L6-7,R43,0.18215,0.05,1.73,0.3472,L7-8,R44,0.02915,1.20336,1.73,0.5601,0.012900000000000023,0.0
Coordinado,90,L8-9,R45,0.10810,0.15651,2.05,0.2867,L9-15,R71,0.02500,0.21673,0.31,0.4872,0.0005000000000000004,0.0
Coordinado,10,L9-10,R9,0.10692,0.36779,2.86,0.3575,L9-15,R71,0.02500,0.21673,0.28,0.6815,0.124,0.0
Coordinado,10,L9-15,R34,0.14302,0.05094,2.8,0.24,L8-9,R8,0.11321,0.26037,1.31,0.4826,0.04259999999999997,0.0
Coordinado,10,L9-15,R34,0.14302,0.05094,2.8,0.24,L9-10,R46,0.13681,0.05302,0.39,0.4704,0.030399999999999983,0.0
Coordinado,90,L9-15,R71,0.02500,0.21673,1.17,0.102,L14-15,R14,0.11335,0.05606,0.67,0.312,0.010000000000000009,0.0
Descoordinado,10,L10-11,R10,0.15145,0.07958,1.71,0.3351,L9-10,R9,0.10692,0.36779,1.71,0.4796,-0.055499999999999994,-0.055499999999999994
Descoordinado,90,L10-11,R47,0.09646,0.06729,1.22,0.2263,L11-12,R48,0.02500,0.61524,1.22,0.2539,-0.1724,-0.1724
Descoordinado,10,L11-12,R11,0.15331,0.05304,1.58,0.3056,L10-11,R10,0.15145,0.07958,1.58,0.3443,-0.1613,-0.1613
Descoordinado,90,L11-12,R48,0.02500,0.61524,1.4,0.2111,L12-13,R49,0.10570,0.05194,0.52,0.3138,-0.0973,-0.0973
Descoordinado,90,L11-12,R48,0.02500,0.61524,1.4,0.2111,L12-22,R72,0.16794,0.05175,0.88,0.4032,-0.007900000000000018,-0.007900000000000018
Descoordinado,10,L12-13,R12,0.03020,0.77367,2.11,0.2086,L11-12,R11,0.15331,0.05304,1.28,0.3265,-0.0821,-0.0821
Descoordinado,90,L12-13,R49,0.10570,0.05194,0.96,0.2463,L13-14,R50,0.11301,0.05498,0.96,0.2688,-0.17750000000000002,-0.17750000000000002
Descoordinado,10,L13-14,R13,0.14796,0.0851,1.19,0.3824,L12-13,R12,0.03020,0.77367,1.19,0.4889,-0.09350000000000003,-0.09350000000000003
Descoordinado,90,L13-14,R50,0.11301,0.05498,1.27,0.2441,L14-15,R51,0.02500,0.64215,1.27,0.2549,-0.1892,-0.1892
Descoordinado,10,L14-15,R14,0.11335,0.05606,0.93,0.2746,L13-14,R13,0.14796,0.0851,0.93,0.4228,-0.05180000000000001,-0.05180000000000001
Descoordinado,90,L14-15,R51,0.02500,0.64215,1.62,0.1874,L15-16,R52,0.09561,0.051,0.53,0.2792,-0.10820000000000002,-0.10820000000000002
Descoordinado,90,L14-15,R51,0.02500,0.64215,1.62,0.1874,L9-15,R34,0.14302,0.05094,1.1,0.3159,-0.07150000000000001,-0.07150000000000001
Descoordinado,10,L15-16,R15,0.03010,0.65499,1.83,0.203,L14-15,R14,0.11335,0.05606,0.73,0.3013,-0.10170000000000001,-0.10170000000000001
Descoordinado,10,L15-16,R15,0.03010,0.65499,1.83,0.203,L9-15,R34,0.14302,0.05094,1.1,0.3159,-0.08710000000000001,-0.08710000000000001
Descoordinado,90,L15-16,R52,0.09561,0.051,0.62,0.2613,L16-17,R53,0.08484,0.05184,0.62,0.2334,-0.2279,-0.2279
Descoordinado,10,L16-17,R16,0.11505,0.06156,1.42,0.2486,L15-16,R15,0.03010,0.65499,1.42,0.2702,-0.1784,-0.1784
Descoordinado,90,L16-17,R53,0.08484,0.05184,0.84,0.2073,L17-18,R54,0.09749,0.05,0.84,0.2351,-0.17220000000000002,-0.17220000000000002
Descoordinado,10,L17-18,R17,0.10337,0.0561,0.97,0.2467,L16-17,R16,0.11505,0.06156,0.97,0.2841,-0.1626,-0.1626
Descoordinado,90,L17-18,R54,0.09749,0.05,0.99,0.2218,L18-33,R73,0.11720,0.05,0.99,0.2667,-0.15510000000000002,-0.15510000000000002
Descoordinado,10,L18-33,R36,0.10708,0.0561,0.84,0.2695,L17-18,R17,0.10337,0.0561,0.84,0.2602,-0.20930000000000004,-0.20930000000000004
