Escenario,Pares evaluados,Pares válidos,Descoordinados,% Descoord,TMT [s]
scenario_1,100,100,85,85.0,10.067
scenario_2,100,100,70,70.0,14.198
scenario_3,100,100,72,72.0,14.309
scenario_4,100,100,83,83.0,10.316
scenario_5,100,100,63,63.0,13.945
scenario_6,100,100,69,69.0,14.846
scenario_7,100,100,75,75.0,14.363
scenario_8,100,100,72,72.0,14.961
scenario_9,100,100,71,71.0,13.531
scenario_10,100,100,76,76.0,14.062
scenario_11,100,100,70,70.0,14.325
scenario_12,100,100,72,72.0,14.568
scenario_13,100,100,70,70.0,13.863
scenario_14,100,100,71,71.0,14.001
scenario_15,100,100,66,66.0,14.236
scenario_16,100,100,69,69.0,13.855
scenario_17,100,100,73,73.0,14.666
scenario_18,100,100,70,70.0,14.377
scenario_19,100,100,72,72.0,14.165
scenario_20,100,100,69,69.0,14.368
scenario_21,100,100,90,90.0,10.306
scenario_22,100,100,79,79.0,10.014
scenario_23,100,100,86,86.0,10.155
scenario_24,100,100,83,83.0,10.031
scenario_25,100,100,87,87.0,10.196
scenario_26,100,100,80,80.0,10.105
scenario_27,100,100,85,85.0,10.148
scenario_28,100,100,87,87.0,10.352
scenario_29,100,100,83,83.0,9.878
scenario_30,100,100,83,83.0,10.209
scenario_31,100,100,83,83.0,10.563
scenario_32,100,100,86,86.0,10.222
scenario_33,100,100,85,85.0,9.824
scenario_34,100,100,81,81.0,10.169
scenario_35,100,100,81,81.0,10.236
scenario_36,100,100,81,81.0,9.930
scenario_37,100,100,63,63.0,15.754
scenario_38,100,100,67,67.0,14.229
scenario_39,100,100,75,75.0,14.740
scenario_40,100,100,71,71.0,14.818
scenario_41,100,100,70,70.0,14.458
scenario_42,100,100,70,70.0,14.616
scenario_43,100,100,74,74.0,14.936
scenario_44,100,100,76,76.0,14.430
scenario_45,100,100,65,65.0,14.495
scenario_46,100,100,68,68.0,15.098
scenario_47,100,100,76,76.0,15.764
scenario_48,100,100,72,72.0,14.863
scenario_49,100,100,77,77.0,14.965
scenario_50,100,100,73,73.0,14.720
scenario_51,100,100,73,73.0,14.751
scenario_52,100,100,68,68.0,14.542
scenario_53,100,100,83,83.0,9.806
scenario_54,100,100,80,80.0,9.926
scenario_55,100,100,87,87.0,9.999
scenario_56,100,100,82,82.0,9.502
scenario_57,100,100,84,84.0,9.625
scenario_58,100,100,78,78.0,10.258
scenario_59,100,100,76,76.0,9.917
scenario_60,100,100,84,84.0,9.911
scenario_61,100,100,82,82.0,10.205
scenario_62,100,100,88,88.0,10.394
scenario_63,100,100,80,80.0,10.201
scenario_64,100,100,77,77.0,10.378
scenario_65,100,100,88,88.0,9.477
scenario_66,100,100,84,84.0,9.552
scenario_67,100,100,82,82.0,9.649
scenario_68,100,100,83,83.0,9.732
